code|name|active
US-RBrHi|Bristol Historical & Preservation Society|Y
US-RPB|Brown University Library|Y
US-RiBrHMA|Haffenreffer Museum of Anthropology|Y
US-MaBoHNE|Historic New England|Y
US-RiJaHS|Jamestown Historical Society|Y
US-RPJCB|John Carter Brown Library|Y
US-RPJW|Johnson & Wales University|N
US-RNN|Naval War College|Y
XX|Newport Art Museum|N
US-RNHi|Newport Historical Society|Y
US-RNk|North Kingstown Free Library|Y
US-RiNpPs|Preservation Society of Newport County|Y
US-PUM|Providence Athenaeum|N
US-RiPrCA|Providence City Archives|N
US-RPPCProvidence College|Y
US-RP|Providence Public Library|Y
US-RNR|Redwood Library and Athenaeum|Y
US-RPRC|Rhode Island College|Y
US-RHi|Rhode Island Historical Society|Y
US-RPD|Rhode Island School of Design|Y
US-R-Ar|Rhode Island State Archives|Y
US-RBrRW|Roger Williams University|Y
US-RBrRW-L|Roger Williams University School of Law|N
US-RNSRU|Salve Regina University|Y
US-RiExTM|Tomaquag Museum|N
US-RUn|University of Rhode Island|Y
US-RWe|Westerly Public Library|Y